"ENTIDAD","MUN","LOC","co_mean","no_mean","no2_mean","nox_mean","o3_mean","pm10_mean","pm25_mean","so2_mean"
09,012,0175,0.0199,36.2516,18.9321,44.0809,35.2897,39.7576,20.0190,10.1903
09,012,0179,0.0312,29.9592,21.0044,44.3977,37.9197,37.9623,19.2165,9.6353
09,012,0187,0.0205,34.3959,19.2654,43.7108,35.6932,39.7905,19.9550,10.1117
09,012,0198,0.0276,33.1857,20.4486,45.0320,37.4113,37.6159,19.0932,9.7768
09,012,0210,0.0281,26.9732,20.9659,43.7222,37.7964,39.6677,19.6485,9.7059
09,012,0216,0.0222,31.7376,19.8884,43.4882,36.4928,39.5665,19.7610,9.9640
09,012,0217,0.0222,32.6875,19.6579,43.3176,36.1857,39.6544,19.8316,10.0196
09,012,0218,0.0222,31.8357,19.7383,43.1837,36.2808,39.8874,19.8845,10.0000
09,012,0220,0.0390,29.6441,21.5006,46.8434,37.9812,37.4085,19.1120,9.4791
09,012,0221,0.0306,30.8632,20.9622,44.5378,37.8403,37.6665,19.1259,9.6367
09,012,0222,0.0300,29.0285,20.9973,44.2492,37.9730,38.3901,19.3313,9.6523
09,012,0237,0.0290,32.0278,20.6172,44.8353,37.5821,37.7765,19.1441,9.7354
09,012,0254,0.0224,32.9017,19.7858,43.7373,36.4017,39.2235,19.6746,9.9867
09,012,0269,0.0213,32.7049,19.5325,43.3612,36.0440,39.9430,19.9411,10.0472
09,012,0272,0.0256,27.6670,20.4074,42.3181,36.8044,40.7013,20.0107,9.8522
09,012,0275,0.0244,29.0898,20.0825,42.6496,36.5767,40.5879,20.0261,9.9209
09,012,0276,0.0232,29.7157,20.0517,42.7317,36.5870,40.2875,19.9447,9.9282
09,012,0277,0.0232,30.2890,19.9612,42.8611,36.5099,40.1785,19.9284,9.9485
09,012,0280,0.0255,33.0500,20.2920,45.0629,37.2446,37.9673,19.2122,9.8298
09,012,0282,0.0242,29.0881,20.2708,44.4265,36.8412,40.1144,19.8593,9.8785
09,012,0283,0.0276,32.5783,20.4874,44.9564,37.4565,37.7877,19.1480,9.7714
09,012,0290,0.0285,27.5982,20.9795,43.9273,37.9432,39.2120,19.5323,9.6867
09,012,0291,0.0285,26.9352,21.0095,43.7158,37.8833,39.5759,19.6215,9.6921
09,012,0295,0.0213,33.3433,19.4937,43.4728,35.9747,39.7353,19.8896,10.0584
09,012,0296,0.0205,34.8515,19.2328,43.7766,35.6204,39.6744,19.9299,10.1215
09,012,0300,0.0258,32.3081,20.2989,44.9239,37.2342,38.2809,19.3104,9.8365
09,012,0301,0.0266,32.7556,20.2830,45.0231,37.2267,38.1132,19.2591,9.8362
09,012,0302,0.0241,29.2711,19.6131,44.2816,36.4255,41.5012,20.3450,9.9974
09,012,0310,0.0258,29.4037,20.5732,44.3000,37.4698,39.1336,19.5367,9.7876
09,012,0311,0.0285,26.6921,21.0738,43.6850,37.9594,39.5748,19.6175,9.6762
09,012,0317,0.0334,32.9344,20.9051,44.7804,37.6805,37.0095,18.9051,9.6293
09,012,0319,0.0213,32.4291,19.5729,43.3023,36.0944,39.9817,19.9440,10.0375
09,012,0325,0.0285,27.5457,20.9587,43.9100,37.9029,39.2975,19.5541,9.6950
09,012,0326,0.0256,26.7635,20.4774,43.5767,36.7159,41.1726,20.1383,9.8386
09,012,0328,0.0371,28.0153,21.5513,47.8837,38.1315,37.9554,19.2871,9.4869
09,012,0333,0.0241,32.8902,20.0823,43.6884,36.9327,38.4951,19.3985,9.8990
09,012,0339,0.0319,31.7716,20.9474,44.6480,37.7714,37.3513,19.0247,9.6298
09,012,0342,0.0263,34.6029,20.1924,45.3244,37.1517,37.5297,19.0721,9.8444
09,012,0346,0.0258,31.9258,20.3036,43.4854,37.2250,38.4496,19.3618,9.8396
09,012,0350,0.0237,31.3742,20.1646,43.4099,36.9499,39.0598,19.5625,9.8893
09,012,0351,0.0271,27.6251,20.9141,43.9186,37.8356,39.3604,19.5722,9.7085
09,012,0354,0.0247,32.5886,20.1994,43.6347,37.1011,38.3700,19.3466,9.8652
09,012,0355,0.0258,32.4812,20.2757,43.5962,37.2080,38.2518,19.3031,9.8419
09,012,0356,0.0301,26.5535,21.2324,43.6872,38.1918,39.2614,19.5428,9.6241
09,012,0357,0.0291,26.9614,21.1715,43.7844,38.1455,39.1457,19.5164,9.6350
09,012,0358,0.0258,32.2134,20.3345,44.9132,37.2799,38.2479,19.2977,9.8261
09,012,0359,0.0247,32.9895,20.1740,43.6803,37.0829,38.2415,19.3084,9.8687
09,012,0360,0.0247,32.6932,20.2632,45.0238,37.1981,38.1827,19.2824,9.8434
09,012,0361,0.0255,33.5657,20.2190,45.1566,37.1645,37.8957,19.1933,9.8475
09,012,0373,0.0213,33.0968,19.5363,43.4441,36.0303,39.7500,19.8849,10.0482
09,012,0374,0.0222,32.0521,19.7508,43.1990,36.3006,39.7462,19.8406,9.9974
09,012,0376,0.0213,33.3996,19.3935,43.5260,35.8838,39.9367,19.9679,10.0793
09,012,0378,0.0390,28.6804,21.7640,46.5386,38.0124,37.4726,19.1775,9.4106
09,012,0381,0.0254,28.3118,20.4574,44.2482,37.0333,40.1261,19.8355,9.8362
09,012,0383,0.0222,31.2937,19.8231,43.0606,36.3764,39.9647,19.8911,9.9802
09,012,0390,0.0209,34.0764,18.9807,43.6822,35.8121,40.4169,20.1613,10.1530
09,012,0391,0.0215,32.7018,19.4640,43.3960,35.9962,40.0952,19.9971,10.0606
09,012,0392,0.0260,26.7582,20.4385,43.5893,36.6712,41.2759,20.1731,9.8460
09,012,0393,0.0244,27.8422,20.2646,43.8611,36.6501,40.9436,20.1008,9.8818
09,012,0394,0.0248,27.7835,20.1780,43.8431,36.5683,41.1929,20.1839,9.8974
09,012,0396,0.0244,28.2420,20.1440,43.9505,36.5747,40.9725,20.1263,9.9060
09,012,0399,0.0306,31.6378,20.7561,44.7281,37.6950,37.6936,19.1218,9.6945
09,012,0410,0.0255,33.4613,20.2845,45.1205,37.2417,37.8101,19.1617,9.8274
09,012,0416,0.0224,31.4970,19.5607,43.1650,36.1614,40.4539,20.0762,10.0330
09,012,0418,0.0232,30.6677,19.9258,42.9423,36.4841,40.0532,19.8983,9.9566
09,012,0420,0.0209,33.2884,19.1728,43.5281,35.8833,40.4070,20.1304,10.1151
09,012,0422,0.0258,32.0283,20.3332,44.8895,37.2720,38.3360,19.3248,9.8288
09,012,0423,0.0183,39.8487,18.4463,42.9996,35.4715,38.9878,19.7791,10.2921
09,012,0426,0.0312,28.8669,21.1284,44.1911,38.0427,38.2262,19.2994,9.6109
09,012,0427,0.0254,27.8693,20.4664,44.1281,36.9473,40.4044,19.9157,9.8375
09,012,0429,0.0423,27.7227,21.8840,46.3406,38.0689,37.7010,19.2713,9.3891
09,012,0430,0.0290,32.3120,20.5911,44.8742,37.5527,37.7085,19.1226,9.7405
09,012,0436,0.0242,29.8671,20.1282,42.7554,36.7120,40.0057,19.8499,9.9102
09,012,0438,0.0271,28.2962,20.7743,44.0512,37.6845,39.2915,19.5633,9.7413
09,012,0439,0.0231,29.9361,19.5262,44.4484,36.3640,41.3051,20.3051,10.0188
09,012,0440,0.0241,29.4835,19.6452,44.3195,36.3904,41.3192,20.2927,9.9966
09,013,0001,0.0409,18.3463,22.4192,42.7740,35.2118,45.2750,21.1483,9.4892
09,013,0091,0.0288,24.4803,20.6289,42.2728,36.4349,42.6681,20.5474,9.7980
09,013,0096,0.0418,23.2711,20.0822,43.6123,36.8022,45.9768,21.5250,9.7688
09,013,0111,0.0479,18.8229,21.9130,42.7426,35.4880,46.5206,21.5357,9.5253
09,013,0113,0.0493,20.2201,21.1874,42.4187,35.9837,47.1390,21.7692,9.5890
09,013,0118,0.0539,23.4729,19.9271,43.1401,36.8891,47.1572,21.8602,9.7359
09,013,0134,0.0442,24.0626,19.7669,43.7612,37.0514,46.0641,21.5753,9.8019
09,013,0136,0.0281,23.8645,20.9179,42.8190,36.4413,42.4836,20.4681,9.7514
09,013,0137,0.0263,27.4958,19.5026,43.5437,36.7717,42.8382,20.7107,9.9699
09,013,0138,0.0290,23.7356,21.1242,42.7066,36.6001,42.0335,20.3212,9.7162
09,013,0139,0.0406,21.7877,20.7864,44.0032,36.2649,45.4646,21.3190,9.7024
09,013,0140,0.0298,24.5234,20.4786,42.2256,36.4366,43.0155,20.6592,9.8157
09,013,0143,0.0274,25.3655,20.7161,43.1920,36.6629,41.6599,20.2514,9.7917
09,013,0146,0.0377,22.7429,20.4580,43.2777,36.4833,45.1736,21.2651,9.7544
09,013,0151,0.0270,25.3403,20.8502,43.1602,36.8415,41.3160,20.1368,9.7651
09,013,0157,0.0359,22.9386,20.4839,44.4932,36.4471,44.7799,21.1514,9.7649
09,013,0160,0.0263,27.7945,19.4376,43.6196,36.7822,42.7600,20.6965,9.9825
09,013,0162,0.0281,25.5906,20.1476,42.5065,36.5342,42.8852,20.6567,9.8706
09,013,0163,0.0291,25.4187,20.1029,42.4653,36.5648,43.1403,20.7313,9.8703
09,013,0164,0.0254,27.8208,19.6971,43.1043,36.5709,42.2166,20.5243,9.9617
09,013,0165,0.0236,29.5418,19.4568,43.5131,36.4608,41.6480,20.4029,10.0202
09,013,0169,0.0453,18.2865,22.2225,42.6351,35.2740,46.2821,21.4432,9.4937
09,013,0172,0.0581,16.3349,23.0729,41.6460,34.7065,47.3651,21.7197,9.3554
09,013,0178,0.0508,19.0237,21.7810,43.1504,35.5802,46.7347,21.6090,9.5341
09,013,0180,0.0281,24.5348,20.8108,42.9917,36.5350,42.1387,20.3796,9.7725
09,013,0181,0.0274,24.8236,20.8197,43.0482,36.6235,41.8534,20.2966,9.7721
09,013,0184,0.0291,25.3693,20.1582,42.4437,36.5387,43.0498,20.7008,9.8645
09,013,0185,0.0254,28.0589,19.6590,43.1486,36.5625,42.1391,20.5080,9.9704
09,013,0187,0.0263,27.9340,19.5611,43.1084,36.6483,42.4168,20.5925,9.9766
09,013,0190,0.0364,25.5231,19.3377,43.9622,37.3490,45.2998,21.3989,9.8853
09,013,0191,0.0298,26.0161,19.5919,44.4290,36.9336,43.8547,20.9771,9.9171
09,013,0193,0.0298,26.3993,19.5769,43.2051,36.8840,43.5408,20.8928,9.9318
09,013,0195,0.0383,25.6882,19.2612,44.3707,37.4197,45.3739,21.4257,9.8907
09,013,0196,0.0288,24.1953,20.7393,42.1750,36.4229,42.6458,20.5305,9.7799
09,013,0197,0.0479,18.9430,21.8369,43.1612,35.5412,46.6276,21.5731,9.5311
09,013,0198,0.0254,28.4940,19.4414,43.2435,36.6533,42.2910,20.5722,9.9999
09,013,0201,0.0352,24.1805,19.9827,43.7799,36.7918,44.7907,21.2002,9.8291
09,013,0202,0.0316,25.4404,19.8136,42.9428,36.7904,43.8416,20.9524,9.8878
09,013,0203,0.0311,25.9959,19.5195,44.4017,37.0215,44.0649,21.0415,9.9178
09,013,0204,0.0330,25.9696,19.4480,44.3330,37.1146,44.2920,21.1105,9.9171
